122375;59467;1901
122377;59467;1899
122379;59467;1899
122381;59467;1899
122383;36340;1896-04-25
122385;36340;1897-01-16
122387;122064;1913-10-01
122389;36149;1890-06-11
122391;36344;1930-04-27
122393;122065;1913
32722;41471;1893-12-10
122395;41471;1893-12-04
122397;41471;1893-11-26
122399;41471;1893-11-12
122401;41471;1893-10-22
122403;41471;1893-10-08
122405;41471;1893-09-24
122407;41471;1893-09-17
122409;41471;1893-08-27
122411;41471;1893-07-09
122413;41471;1893-07-02
122415;41471;1893-05-07
122417;41471;1893-04-09
122419;41471;1893-03-25
122421;41471;1893-03-12
122423;41471;1893-01-08
122425;41471;1893-09-10
122427;41471;1893-10-01
122429;41471;1893-11-05
122431;41471;1893-08-06
122433;41471;1893-07-30
122435;41471;1893-07-23
122437;41471;1893-06-18
122439;41471;1893-06-04
122441;41471;1893-06-01
122443;41471;1893-04-30
122445;41471;1893-04-23
122447;41471;1893-04-16
122449;41471;1893-04-02
122451;41471;1893-03-05
122453;41471;1893-02-26
122455;41471;1893-02-19
122457;41471;1893-02-05
122459;41471;1893-02-12
122461;41471;1893-01-29
122463;41471;1893-01-15
122465;41471;1893-01-01
122467;41471;1893-10-15
122469;41471;1893-06-11
122471;41471;1893-03-19
122473;41471;1893-05-14
122475;41471;1893-01-22
122477;41471;1892-11-03
122479;41471;1892-12-04
122481;41471;1892-10-23
122483;41471;1892-12-25
122485;41471;1892-12-18
122487;41471;1892-11-27
122489;41471;1892-11-20
122491;41471;1892-11-06
122493;41471;1892-12-11
122495;41471;1892-11-13
122497;41471;1892-10-09
122499;122066;1883-02-18
122501;122066;1883-01-28
122503;122066;1882-11-05
122505;122066;1882-10-29
122507;122066;1882-10-22
122509;122066;1882-10-15
122511;122066;1882-10-01
122513;122066;1882-09-24
122515;36149;1890-06-11
122517;36149;1890-06-04
122519;36149;1890-05-28
122521;36149;1890-05-14
122523;36340;1894-10-20
122525;36340;1894-10-20
122527;36340;1894-10-20
122529;36340;1894-10-20
122531;36340;1894-10-13
122533;36340;1894-10-13
122535;36340;1894-10-06
122537;36340;1894-10-06
122539;122067;1888
122541;122067;1888
122543;122067;1888
122545;122067;1888
122547;122067;1888
122549;122067;1888
122551;122067;1888
122553;122067;1888
122555;122067;1888
122557;122067;1888
HB-tv_2479;122068;1984
122559;122062;1881-11-06
122561;122062;1881-09-24
122563;122062;1881-09-18
122565;122062;1881-09-11
122567;122062;1881-09-04
122569;122062;1881-09-30
122571;122062;1881-09-16
122573;122067;1884-03-22
122575;52605;1917-09-27
122577;122069;1906-03-18
122579;41321;1906-03-13
122581;41321;1906-01-20
122583;41321;1906-01-21
122585;41321;1906-03-28
122587;41552;1906-05-04
122589;41552;1906-04-01
122591;41552;1906-03-24
122593;41552;1906-03-04
122595;41552;1906-03-08
122597;41552;1906-02-23
122599;41321;1906-03-17
122601;41321;1906-04-21
122603;41321;1906-02-04
122605;41321;1906-01-06
122607;41321;1905-11-17
122609;41321;1905-10-26
122611;41321;1905-01-13
122613;122069;1905-11-12
122615;41552;1905-04-18
122617;41552;1905-03-10
122619;41552;1905-02-19
122621;41552;1905-01-08
122623;41321;1905-05-25
122625;41321;1905-04-02
122627;41321;1905-10-01
